,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
201,3904,5024,9808,12416,12544,12608,4048,4496,7984,11664,12592,12592,4672,5824,9696,11616,12480,12528
202,3936,4848,9536,12352,12512,12624,4128,4384,7728,11504,12576,12624,4720,5664,9472,11504,12512,12560
203,3968,4720,9280,12320,12512,12608,4208,4304,7520,11472,12576,12656,4784,5552,9280,11472,12544,12576
204,4048,4608,9056,12320,12496,12576,4272,4224,7344,11408,12544,12640,4832,5440,9088,11424,12560,12608
205,4080,4512,8848,12224,12496,12544,4368,4144,7136,11344,12496,12640,4912,5344,8896,11360,12544,12640
206,4144,4416,8624,12032,12528,12576,4464,4096,6928,11264,12512,12624,4976,5248,8704,11280,12480,12656
207,4208,4336,8416,11792,12576,12576,4544,4048,6752,11184,12496,12592,5056,5184,8528,11200,12448,12640
208,4272,4256,8176,11552,12560,12608,4688,4000,6528,11040,12544,12608,5168,5072,8288,11072,12432,12624
209,4400,4192,7904,11472,12560,12672,4864,3952,6240,10880,12560,12640,5328,4976,7984,10912,12432,12592
210,4528,4112,7584,11360,12544,12656,5024,3920,6000,10720,12544,12688,5456,4896,7744,10768,12416,12608
211,4656,4064,7328,11248,12448,12656,5120,3904,5872,10624,12496,12720,5536,4864,7600,10672,12400,12624
212,4752,4032,7152,11152,12480,12640,5248,3904,5712,10480,12480,12720,5648,4832,7424,10560,12400,12688
213,4864,3984,6976,11024,12560,12688,5376,3904,5552,10368,12528,12704,5744,4784,7264,10432,12368,12656
214,4976,3968,6784,10896,12480,12656,5472,3888,5456,10272,12432,12752,5840,4784,7152,10352,12320,12688
215,5072,3968,6656,10800,12480,12640,5600,3904,5328,10176,12384,12736,5936,4768,7024,10240,12272,12720
216,5168,3952,6496,10656,12512,12656,5776,3920,5168,10000,12304,12768,6096,4736,6816,10080,12128,12752
217,5344,3936,6256,10432,12528,12704,6032,3952,4944,9776,12176,12768,6304,4720,6560,9872,11872,12768
218,5568,3936,5984,10224,12512,12752,6208,3984,4816,9600,12080,12800,6464,4704,6400,9712,11680,12768
219,5744,3952,5824,10048,12480,12784,6384,4032,4688,9440,11904,12848,6608,4688,6240,9536,11520,12784
220,5904,3968,5632,9840,12432,12832,6592,4080,4560,9232,11728,12928,6800,4704,6064,9344,11472,12800
221,6112,3984,5440,9616,12384,12848,6800,4144,4416,9056,11552,12960,6992,4704,5888,9152,11424,12880
222,6320,4032,5264,9408,12336,12896,6992,4208,4320,8880,11504,13072,7168,4736,5760,8976,11392,12928
223,6512,4064,5136,9216,12336,12928,7184,4272,4240,8704,11456,13152,7328,4752,5632,8816,11344,13008
224,6688,4112,4976,8992,12304,12976,7424,4368,4112,8480,11392,13232,7568,4800,5472,8592,11248,13120
225,6928,4176,4816,8720,12272,13088,7648,4464,4032,8272,11312,13360,7760,4848,5344,8384,11168,13184
226,7152,4256,4672,8496,12208,13216,7856,4560,3952,8080,11232,13504,7968,4896,5232,8176,11072,13328
227,7376,4336,4560,8288,12080,13328,8000,4624,3920,7936,11184,13648,8112,4928,5152,8048,11008,13424
228,7504,4384,4480,8128,11904,13488,8160,4720,3872,7776,11088,13856,8272,4976,5072,7888,10928,13536
229,7696,4464,4384,7872,11584,13792,8432,4880,3792,7504,10928,14272,8544,5072,4944,7600,10768,13840
230,7952,4592,4240,7584,11504,14160,8672,5024,3744,7280,10784,14704,8784,5168,4832,7360,10624,14256
231,8208,4720,4144,7328,11408,14528,8864,5168,3696,7088,10656,15152,8992,5248,4768,7152,10496,14608
232,8416,4848,4064,7088,11328,14992,9056,5312,3680,6912,10528,15552,9168,5344,4704,6960,10368,15056
233,8592,4976,3984,6848,11216,15504,9264,5472,3664,6720,10384,15984,9360,5456,4624,6768,10224,15568
234,8800,5136,3920,6624,11072,15984,9472,5664,3664,6496,10208,16304,9600,5600,4576,6528,10048,16048
235,9024,5296,3856,6448,10992,16096,9536,5728,3648,6432,10160,16352,9648,5632,4560,6464,10000,16144
236,9088,5344,3840,6384,10960,16192,9600,5792,3664,6384,10112,16416,9712,5664,4544,6416,9952,16224
237,9152,5408,3824,6256,10848,16384,9744,5920,3664,6240,9984,16560,9856,5776,4512,6256,9824,16416
238,9312,5552,3792,6064,10672,16560,9936,6160,3680,6016,9792,16736,10096,5952,4464,6016,9616,16640
239,9536,5760,3744,5824,10480,16704,10128,6352,3696,5856,9584,16864,10288,6112,4448,5824,9424,16768
240,9728,5968,3728,5616,10288,16832,10304,6560,3744,5680,9408,16960,10480,6272,4432,5648,9248,16896
241,9904,6192,3696,5376,10048,16976,10496,6848,3792,5488,9168,17088,10688,6480,4416,5440,8992,17040
242,10128,6448,3696,5152,9808,17104,10672,7072,3856,5328,8928,17200,10864,6688,4432,5264,8784,17168
243,10304,6688,3696,5008,9632,17184,10816,7280,3920,5200,8752,17296,11008,6848,4432,5136,8608,17264
244,10432,6880,3712,4880,9488,17264,10880,7392,3952,5152,8656,17344,11072,6944,4448,5056,8512,17312
